CAT revision 69 GST ref 37

=== PRAETOR/CENTURION ARMOURY + WEAPONS ===
ENTRY hq-praetor | Legion Praetor
    LINK hq-centurion-art | Artificer Armour -> gear-hq-artificer | max=1 field=selections scope=parent
    LINK hq-centurion-term | Terminator Armour -> gear-hq-terminator | max=1 field=selections scope=parent
    LINK hq-centurion-tart | Tartaros Terminator Armour -> gear-hq-tartaros | max=1 field=selections scope=parent
    LINK hq-centurion-cat | Cataphractii Terminator Armour -> gear-hq-cataphractii | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-sal-mantle | Salamanders Mantle -> r46-sal-mantle | max=1 field=selections scope=parent
OWNER hq-centurion | Legion Centurion :: GROUP hq-centurion-mob | Mobility (counts toward 100 pt Armoury limit) | max=1 field=selections scope=parent
    ENTRY r37-centurion-jetbike | Jetbike (Sky Hunter Phalanx) | cost=40 | max=1 field=selections scope=parent
    LINK hq-centurion-jump | Jump Pack -> gear-hq-jump | max=1 field=selections scope=parent
    LINK hq-centurion-bike | Space Marine Bike -> gear-hq-bike | max=1 field=selections scope=parent
    LINK r47-hq-centurion-ts-disc | Prosperine Æther-Disc -> r47-ts-prosperine-aether-disc | max=1 field=selections scope=parent
    LINK r47-hq-centurion-wb-favour-wings | Favour of the Pantheon — Daemonic Wings -> r47-wb-favour-wings | max=1 field=selections scope=parent
OWNER hq-centurion | Legion Centurion :: GROUP hq-centurion-weapons | Weapon Replacements (max 100 Armoury pts; max 2 weapons) | max=2 field=selections scope=parent; max=100 field=pts scope=parent
    LINK r44-hq-centurion-r44-nl-chainglaive | Nostraman Chainglaive -> r44-nl-chainglaive | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ba-blade-perdition | Blade of Perdition -> r44-ba-blade-perdition | max=1 field=selections scope=parent
    LINK r45-hq-centurion-we-chain | Chainaxe -> r45-we-chainaxe | max=1 field=selections scope=parent
    LINK r45-hq-centurion-we-caedere | Caedere Weapon -> r45-we-caedere | max=1 field=selections scope=parent
    LINK r45-hq-centurion-um-axe | Legatine Axe -> r45-um-legatine-axe | max=1 field=selections scope=parent
    LINK r45-hq-centurion-dg-man | Manreaper -> r45-dg-manreaper | max=1 field=selections scope=parent
    LINK r45-hq-centurion-r45-ts-force-weapon | Prosperine Force Weapon upgrade -> r45-ts-force-weapon | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-soh-culling-blade | Cthonian Culling Blade -> r46-soh-culling-blade | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-soh-chainaxe | Chainaxe -> r46-soh-chainaxe | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-wb-accursed-crozius | Accursed Crozius -> r46-wb-accursed-crozius | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-wb-tainted-weapon | Tainted Weapon -> r46-wb-tainted-weapon | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-sal-mastercrafted | Master-crafted Weapon — Salamanders price -> r46-sal-mastercrafted | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-al-power-dagger | Power Dagger -> r46-al-power-dagger | max=1 field=selections scope=parent
OWNER hq-centurion | Legion Centurion :: GROUP hq-centurion-wargear | Additional Wargear (max 100 Armoury pts combined) | max=100 field=pts scope=parent
    LINK hq-centurion-wg-0 | Combat Shield -> gear-hq-combat-shield | max=1 field=selections scope=parent
    LINK hq-centurion-wg-1 | Boarding Shield -> gear-hq-boarding | max=1 field=selections scope=parent
    LINK hq-centurion-wg-2 | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK hq-centurion-wg-3 | Auspex -> gear-hq-auspex | max=1 field=selections scope=parent
    LINK hq-centurion-wg-4 | Bionics -> gear-hq-bionics | max=1 field=selections scope=parent
    LINK hq-centurion-wg-5 | Digital Weapons -> gear-hq-digital | max=1 field=selections scope=parent
    LINK hq-centurion-wg-6 | Master-crafted Weapon -> gear-hq-mastercraft | max=1 field=selections scope=parent
    LINK hq-centurion-wg-7 | Nuncio Vox -> gear-hq-nuncio | max=1 field=selections scope=parent
    LINK hq-centurion-wg-8 | Psychic Hood -> gear-hq-hood | max=1 field=selections scope=parent
    LINK hq-centurion-wg-9 | Purity Seals -> gear-hq-purity | max=1 field=selections scope=parent
    LINK hq-centurion-wg-10 | Signum -> gear-hq-signum | max=1 field=selections scope=parent
    LINK hq-centurion-wg-11 | Teleport Homer -> gear-hq-homer | max=1 field=selections scope=parent
    LINK hq-centurion-wg-12 | Terminator Honours -> gear-hq-honours | max=1 field=selections scope=parent
    LINK hq-centurion-wg-13 | Melta Bombs -> gear-hq-melta-bombs | max=1 field=selections scope=parent
    LINK hq-centurion-iron-halo | Iron Halo -> gear-hq-iron-halo | max=1 field=selections scope=parent
    LINK r39-phosphex-hq-centurion-wargear | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r40-da-hq-centurion-transponders | Teleportation Transponders -> da22-transponders | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-nl-trophies | Trophies of Judgement -> r44-nl-trophies | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-nl-stealth-ic | Stealth Adept -> r44-nl-stealth-ic | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-nl-transponder-character | Teleportation Transponders -> r44-nl-transponder-character | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ba-death-mask | Death Mask -> r44-ba-death-mask | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ba-inferno-pistol | Inferno Pistol -> r44-ba-inferno-pistol | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ih-servo-arm | Servo-Arm -> r44-ih-servo-arm | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ih-mechadendrites | Mechadendrites -> r44-ih-mechadendrites | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ih-gladius | Albian Power Gladius -> r44-ih-gladius | max=1 field=selections scope=parent
    LINK r44-hq-centurion-r44-ih-bionics-character | Bionics -> r44-ih-bionics-character | max=1 field=selections scope=parent
    LINK r45-hq-centurion-r45-ts-arcane-litanies | Arcane Litanies -> r45-ts-arcane-litanies | max=1 field=selections scope=parent
    LINK r45-hq-centurion-r45-ts-asphyx-ic | Asphyx Shells -> r45-ts-asphyx-ic | max=1 field=selections scope=parent
    LINK r45-hq-centurion-r45-ts-trans-ic | Teleportation Transponders -> r45-ts-trans-ic | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-soh-banestrike-character | Banestrike Ammunition -> r46-soh-banestrike-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-soh-transponder-character | Teleportation Transponders -> r46-soh-transponder-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-wb-burning-lore | Burning Lore -> r46-wb-burning-lore | max=1 field=selections scope=parent
    LINK r46-centurion-wb-burning-lore-diabolist | Burning Lore (Diabolist) -> r46-wb-burning-lore | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-sal-inferno-pistol | Inferno Pistol -> r46-sal-inferno-pistol | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-talons-character | Upgrade Lightning Claws to Raven’s Talons -> r46-rg-talons-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-hand-cannon | Fulcrum Hand Cannon -> r46-rg-hand-cannon | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-infravisor | Infravisor -> r46-rg-infravisor | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-shroud-character | Shroud Bombs -> r46-rg-shroud-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-cameleoline | Cameleoline -> r46-rg-cameleoline | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-rg-trans-character | Teleportation Transponders -> r46-rg-trans-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-al-banestrike-character | Banestrike Ammunition -> r46-al-banestrike-character | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-al-venom-spheres | Venom Spheres -> r46-al-venom-spheres | max=1 field=selections scope=parent
    LINK r46-hq-centurion-r46-al-trans-character | Teleportation Transponders -> r46-al-trans-character | max=1 field=selections scope=parent
    LINK r47-hq-centurion-ws-horsetail | Horsetail Talisman -> r47-ws-horsetail-talisman | max=1 field=selections scope=parent
    LINK r47-hq-centurion-wb-favour-aura | Favour of the Pantheon — Daemonic Aura -> r47-wb-favour-aura | max=1 field=selections scope=parent
    LINK r47-hq-centurion-wb-favour-mutation | Favour of the Pantheon — Daemonic Mutation -> r47-wb-favour-mutation | max=1 field=selections scope=parent
    LINK r47-hq-centurion-wb-favour-strength | Favour of the Pantheon — Daemonic Strength -> r47-wb-favour-strength | max=1 field=selections scope=parent
    LINK r47-hq-centurion-wb-favour-visage | Favour of the Pantheon — Daemonic Visage -> r47-wb-favour-visage | max=1 field=selections scope=parent
OWNER hq-centurion | Legion Centurion :: GROUP r52-hq-centurion-ec-armoury | Emperor's Children Armoury | 
    LINK r52-hq-centurion-ec-sonic | Sonic Weaponry (one Praetor or Centurion per army) -> r52-ec-sonic-character | max=1 field=selections scope=parent
OWNER hq-centurion | Legion Centurion :: GROUP r57-hq-centurion-iw | Iron Warriors Armoury | 
    ENTRY r57-hq-centurion-iw-servo | Servo-Arm | cost=30 | max=1 field=selections scope=parent
    ENTRY r57-hq-centurion-iw-bionics | Bionics | cost=5 | max=1 field=selections scope=parent
OWNER hq-centurion | Legion Centurion :: GROUP r60-hq-centurion-ws-armoury | White Scars Armoury | 
    ENTRY r60-hq-centurion-glaive | Power Glaive | cost=25 | max=1 field=selections scope=parent
    ENTRY r60-hq-centurion-talisman | Horsetail Talisman | cost=25 | max=1 field=selections scope=parent
OWNER hq-centurion | Legion Centurion :: GROUP r63-sw-hq-centurion-armoury | Space Wolves Armoury | 
    LINK r63-sw-hq-centurion-armoury-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-great-frost | Great Frost Blade -> r63-sw-gear-great-frost | max=1 field=selections scope=parent
    LINK r63-sw-hq-centurion-armoury-runic-armour | Runic Armour -> r63-sw-gear-runic-armour | max=1 field=selections scope=parent
OWNER hq-centurion | Legion Centurion :: GROUP r64-if-hq-centurion-armoury | Imperial Fists Armoury | max=5 field=selections scope=parent
    LINK r64-if-hq-centurion-solar | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r64-if-hq-centurion-solar-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
    LINK r64-if-hq-centurion-shield | Vigil Pattern Storm Shield -> r64-if-gear-vigil | max=1 field=selections scope=parent
    LINK r64-if-hq-centurion-trans | Teleportation Transponders -> r64-if-gear-trans-ic | max=1 field=selections scope=parent
OWNER r35-pride-veteran-veteran-unit | Legion Veteran Squad :: GROUP r35-pride-veteran-veteran-sgt-armoury | Legion Veteran Sergeant — Additional Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK r35-pride-veteran-veteran-sgt-hf | Hand Flamer -> gear-hand-flamer | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-lc | Lightning Claw -> gear-lightning-claw | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-pair | Pair of Lightning Claws -> gear-pair-claws | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-pp | Plasma Pistol -> gear-plasma-pistol | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-pf | Power Fist -> gear-power-fist | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-th | Thunder Hammer -> gear-thunder | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-vs | Volkite Serpenta -> gear-volkite-serpenta | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-cb | Combi-Bolter -> gear-combi-bolter | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-cg | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-sb | Storm Bolter -> gear-storm-bolter | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-auspex | Auspex -> gear-auspex | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-bionics | Bionics -> gear-bionics | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-purity | Purity Seals -> gear-purity | max=1 field=selections scope=parent
    LINK r35-pride-veteran-veteran-sgt-homer | Teleport Homer -> gear-homer | max=1 field=selections scope=parent
    LINK r35-pride-veteran-da22-alt-pp-5 | Calibanite Plasma Pistol -> da22-plasma-pistol | max=1 field=selections scope=parent
    LINK r35-pride-veteran-rev24-veteran-unit-sgt-refractor | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK r39-phosphex-r35-pride-veteran-veteran-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-23-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-23-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-23-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-23-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-23-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r35-pride-veteran-veteran-unit | Legion Veteran Squad :: GROUP r40-da-ammo-r35-pride-veteran-veteran-unit | Dark Angels Armoury — Ammunition | 
    LINK r40-da-ammo-r35-pride-veteran-veteran-unit-r35-pride-veteran-veteran-sp-ml | Stasis Shells — Missile (for Missile Launcher with Suspensor Web (replaces Bolter)) -> da22-stasis-missile | max=2 field=selections scope=parent
OWNER r35-pride-terminator-terminator-unit | Legion Terminator Squad :: GROUP r35-pride-terminator-terminator-sgt-armoury | Additional permitted Terminator Armoury (max 50 pts) | max=50 field=pts scope=parent
    ENTRY r35-pride-terminator-terminator-sgt-halo | Iron Halo | cost=25 | max=1 field=selections scope=parent
    ENTRY r35-pride-terminator-terminator-sgt-mastercraft | Master-crafted Weapon | cost=15 | max=1 field=selections scope=parent
    ENTRY r35-pride-terminator-terminator-sgt-signum | Signum | cost=15 | max=1 field=selections scope=parent
    LINK r35-pride-terminator-terminator-sgt-cg | Combi-Grenade Launcher -> gear-combi-grenade | max=1 field=selections scope=parent
    LINK r35-pride-terminator-terminator-sgt-auspex | Auspex -> gear-auspex | max=1 field=selections scope=parent
    LINK r35-pride-terminator-terminator-sgt-bionics | Bionics -> gear-bionics | max=1 field=selections scope=parent
    LINK r35-pride-terminator-terminator-sgt-nuncio | Nuncio Vox -> gear-nuncio | max=1 field=selections scope=parent
    LINK r35-pride-terminator-terminator-sgt-purity | Purity Seals -> gear-purity | max=1 field=selections scope=parent
    LINK r35-pride-terminator-terminator-sgt-homer | Teleport Homer -> gear-homer | max=1 field=selections scope=parent
    LINK r39-phosphex-r35-pride-terminator-terminator-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-24-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-24-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-24-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-24-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-24-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r40-da-storm-tactical-tac-sergeant | Legion Tactical Sergeant :: GROUP r40-da-storm-tactical-sgt-armoury | Sergeant Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK r40-da-storm-tactical-rev24-tactical-unit-sgt-refractor | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK r40-da-storm-tactical-r39-phosphex-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-27-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-27-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-27-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-27-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-27-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
    LINK r67-if-r40-da-storm-tactical-sgt-armoury-solarite | Solarite Power Gauntlet -> r64-if-gear-solarite | max=1 field=selections scope=parent
    LINK r67-if-r40-da-storm-tactical-sgt-armoury-solarite-ex | Solarite Power Gauntlet — exchange Power Fist -> r64-if-gear-solarite-exchange | max=1 field=selections scope=parent
OWNER r40-da-storm-tactical-tac-sergeant | Legion Tactical Sergeant :: GROUP r40-da-storm-tactical-sgt-weapons | Sergeant Armoury - Weapons | max=2 field=selections scope=parent
    LINK r40-da-storm-tactical-r39-phosphex-sgt-weapons | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-28-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-28-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-28-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-28-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-28-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r40-da-storm-tactical-tac-sergeant | Legion Tactical Sergeant :: GROUP r40-da-storm-tactical-sgt-wargear | Sergeant Armoury - Wargear | 
    LINK r40-da-storm-tactical-sgt-auspex | Auspex -> gear-auspex | max=1 field=selections scope=parent
    LINK r40-da-storm-tactical-sgt-bionics | Bionics -> gear-bionics | max=1 field=selections scope=parent
    LINK r40-da-storm-tactical-sgt-cshield | Combat Shield -> gear-combat-shield | max=1 field=selections scope=parent
    LINK r40-da-storm-tactical-sgt-mbombs | Melta Bombs -> gear-melta-bombs | max=1 field=selections scope=parent
    LINK r40-da-storm-tactical-sgt-purity | Purity Seals -> gear-purity | max=1 field=selections scope=parent
    LINK r40-da-storm-tactical-sgt-homer | Teleport Homer -> gear-homer | max=1 field=selections scope=parent
    LINK r40-da-storm-tactical-r39-phosphex-sgt-wargear | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-29-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-29-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-29-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-29-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-29-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r40-da-storm-tactical | Legion Tactical Squad (Storm of War compulsory) :: GROUP r40-da-storm-tactical-r40-da-ammo-tactical-unit | Dark Angels Armoury — Ammunition | 
    LINK r40-da-storm-tactical-r40-da-ammo-tactical-unit-hv-hb | Molecular Acid Shells (for Heavy Bolter) -> da22-acid-hb | max=2 field=selections scope=parent
    LINK r40-da-storm-tactical-r40-da-ammo-tactical-unit-hv-ml | Stasis Shells — Missile (for Missile Launcher) -> da22-stasis-missile | max=2 field=selections scope=parent
OWNER r40-da-storm-centurion-group-r40-da-storm-tactical-centurion | Legion Centurion :: GROUP r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-armour | Armour Replacement (counts toward 100 pt Armoury limit) | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-art | Artificer Armour -> gear-hq-artificer | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-term | Terminator Armour -> gear-hq-terminator | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-tart | Tartaros Terminator Armour -> gear-hq-tartaros | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-cat | Cataphractii Terminator Armour -> gear-hq-cataphractii | max=1 field=selections scope=parent
OWNER r40-da-storm-centurion-group-r40-da-storm-tactical-centurion | Legion Centurion :: GROUP r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-mob | Mobility (counts toward 100 pt Armoury limit) | max=1 field=selections scope=parent
    ENTRY r40-da-storm-centurion-group-r40-da-storm-tactical-r37-centurion-jetbike | Jetbike (Sky Hunter Phalanx) | cost=40 | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-jump | Jump Pack -> gear-hq-jump | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-bike | Space Marine Bike -> gear-hq-bike | max=1 field=selections scope=parent
OWNER r40-da-storm-centurion-group-r40-da-storm-tactical-centurion | Legion Centurion :: GROUP r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-weapons | Weapon Replacements (max 100 Armoury pts; max 2 weapons) | max=2 field=selections scope=parent; max=100 field=pts scope=parent
OWNER r40-da-storm-centurion-group-r40-da-storm-tactical-centurion | Legion Centurion :: GROUP r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wargear | Additional Wargear (max 100 Armoury pts combined) | max=100 field=pts scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-0 | Combat Shield -> gear-hq-combat-shield | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-1 | Boarding Shield -> gear-hq-boarding | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-2 | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-3 | Auspex -> gear-hq-auspex | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-4 | Bionics -> gear-hq-bionics | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-5 | Digital Weapons -> gear-hq-digital | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-6 | Master-crafted Weapon -> gear-hq-mastercraft | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-7 | Nuncio Vox -> gear-hq-nuncio | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-8 | Psychic Hood -> gear-hq-hood | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-9 | Purity Seals -> gear-hq-purity | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-10 | Signum -> gear-hq-signum | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-11 | Teleport Homer -> gear-hq-homer | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-12 | Terminator Honours -> gear-hq-honours | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-wg-13 | Melta Bombs -> gear-hq-melta-bombs | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-hq-centurion-iron-halo | Iron Halo -> gear-hq-iron-halo | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-r39-phosphex-hq-centurion-wargear | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r40-da-storm-centurion-group-r40-da-storm-tactical-r40-da-hq-centurion-transponders | Teleportation Transponders -> da22-transponders | max=1 field=selections scope=parent
OWNER r40-da-storm-assault-assault-sergeant | Legion Assault Sergeant :: GROUP r40-da-storm-assault-assault-sgt-armoury | Additional Sergeant Armoury (max 50 pts) | max=50 field=pts scope=parent
    LINK r40-da-storm-assault-rev24-assault-unit-sgt-refractor | Refractor Field -> gear-hq-refractor | max=1 field=selections scope=parent
    LINK r40-da-storm-assault-r39-phosphex-assault-sgt-armoury | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-30-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-30-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-30-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-30-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-30-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r40-da-storm-assault-assault-sergeant | Legion Assault Sergeant :: GROUP r40-da-storm-assault-assault-sgt-armoury-weapons | Additional Armoury Weapon | max=1 field=selections scope=parent
    LINK r40-da-storm-assault-r39-phosphex-assault-sgt-armoury-weapons | Phosphex Bomb (Destroyer Company) -> gear-phosphex-bomb | max=1 field=selections scope=parent
    LINK r63-sw-arm-31-frost | Frost Weapon -> r63-sw-gear-frost | max=1 field=selections scope=parent
    LINK r63-sw-arm-31-frost-exchange | Frost Weapon — Power Weapon exchange -> r63-sw-gear-frost-exchange | max=1 field=selections scope=parent
    LINK r63-sw-arm-31-pelt | Wolf Pelt -> r63-sw-gear-pelt | max=1 field=selections scope=parent
    LINK r63-sw-arm-31-necklace | Wolf Tooth Necklace -> r63-sw-gear-necklace | max=1 field=selections scope=parent
    LINK r63-sw-arm-31-talisman | Wolf Tail Talisman -> r63-sw-gear-talisman | max=1 field=selections scope=parent
OWNER r40-da-storm-centurion-group-r40-da-storm-assault-centurion | Legion Centurion :: GROUP r40-da-storm-centurion-group-r40-da-storm-assault-hq-centurion-armour | Armour Replacement (counts toward 100 pt Armoury limit) | max=1 field=selections scope=parent
